gm,ro,co,i0,vdd,vcm,temp,corner_mos,corner_r,rload,cload,a_pass_db,f_pass,att_db,peak_db,eps_g,v_on,snr_db
1e-3,2e6,1.21e-11,100e-6,1.65,0.75,27,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.00022448,49.7569
1e-3,2e6,1.21e-11,100e-6,1.65,0.825,27,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.00022448,49.7569
1e-3,2e6,1.21e-11,100e-6,1.35,0.675,125,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000258543,49.7032
1e-3,2e6,1.21e-11,100e-6,1.35,0.75,125,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000258543,49.7032
1e-3,2e6,1.21e-11,100e-6,1.35,0.825,125,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000258543,49.7032
1e-3,2e6,1.21e-11,100e-6,1.5,0.675,125,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000258543,49.7032
1e-3,2e6,1.21e-11,100e-6,1.5,0.75,125,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000258543,49.7032
1e-3,2e6,1.21e-11,100e-6,1.5,0.825,125,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000258543,49.7032
1e-3,2e6,1.21e-11,100e-6,1.65,0.675,125,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000258543,49.7032
1e-3,2e6,1.21e-11,100e-6,1.65,0.75,125,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000258543,49.7032
1e-3,2e6,1.21e-11,100e-6,1.65,0.825,125,tt,typ,560e3,5e-12,18.3567,568093.0,72.7833,0.1128,0.172374,0.000258543,49.7032
5e-3,2e6,1.21e-11,100e-6,1.35,0.675,-40,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000304553,49.6199
5e-3,2e6,1.21e-11,100e-6,1.35,0.75,-40,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000304553,49.6199
5e-3,2e6,1.21e-11,100e-6,1.35,0.825,-40,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000304553,49.6199
5e-3,2e6,1.21e-11,100e-6,1.5,0.675,-40,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000304553,49.6199
5e-3,2e6,1.21e-11,100e-6,1.5,0.75,-40,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000304553,49.6199
5e-3,2e6,1.21e-11,100e-6,1.5,0.825,-40,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000304553,49.6199
5e-3,2e6,1.21e-11,100e-6,1.65,0.675,-40,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000304553,49.6199
5e-3,2e6,1.21e-11,100e-6,1.65,0.75,-40,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000304553,49.6199
5e-3,2e6,1.21e-11,100e-6,1.65,0.825,-40,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000304553,49.6199
5e-3,2e6,1.21e-11,100e-6,1.35,0.675,27,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000345552,49.5359
5e-3,2e6,1.21e-11,100e-6,1.35,0.75,27,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000345552,49.5359
5e-3,2e6,1.21e-11,100e-6,1.35,0.825,27,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000345552,49.5359
5e-3,2e6,1.21e-11,100e-6,1.5,0.675,27,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000345552,49.5359
5e-3,2e6,1.21e-11,100e-6,1.5,0.75,27,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000345552,49.5359
5e-3,2e6,1.21e-11,100e-6,1.5,0.825,27,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000345552,49.5359
5e-3,2e6,1.21e-11,100e-6,1.65,0.675,27,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000345552,49.5359
5e-3,2e6,1.21e-11,100e-6,1.65,0.75,27,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000345552,49.5359
5e-3,2e6,1.21e-11,100e-6,1.65,0.825,27,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000345552,49.5359
5e-3,2e6,1.21e-11,100e-6,1.35,0.675,125,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000397986,49.4159
5e-3,2e6,1.21e-11,100e-6,1.35,0.75,125,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000397986,49.4159
5e-3,2e6,1.21e-11,100e-6,1.35,0.825,125,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000397986,49.4159
5e-3,2e6,1.21e-11,100e-6,1.5,0.675,125,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000397986,49.4159
5e-3,2e6,1.21e-11,100e-6,1.5,0.75,125,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000397986,49.4159
5e-3,2e6,1.21e-11,100e-6,1.5,0.825,125,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000397986,49.4159
5e-3,2e6,1.21e-11,100e-6,1.65,0.675,125,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000397986,49.4159
5e-3,2e6,1.21e-11,100e-6,1.65,0.75,125,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000397986,49.4159
5e-3,2e6,1.21e-11,100e-6,1.65,0.825,125,tt,typ,560e3,5e-12,19.6543,852969.0,61.4515,0.1913,0.0390219,0.000397986,49.4159
0.0251,2e6,1.21e-11,100e-6,1.35,0.675,-40,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000350422,49.5253
0.0251,2e6,1.21e-11,100e-6,1.35,0.75,-40,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000350422,49.5253
0.0251,2e6,1.21e-11,100e-6,1.35,0.825,-40,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000350422,49.5253
0.0251,2e6,1.21e-11,100e-6,1.5,0.675,-40,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000350422,49.5253
0.0251,2e6,1.21e-11,100e-6,1.5,0.75,-40,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000350422,49.5253
0.0251,2e6,1.21e-11,100e-6,1.5,0.825,-40,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000350422,49.5253
0.0251,2e6,1.21e-11,100e-6,1.65,0.675,-40,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000350422,49.5253
0.0251,2e6,1.21e-11,100e-6,1.65,0.75,-40,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000350422,49.5253
0.0251,2e6,1.21e-11,100e-6,1.65,0.825,-40,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000350422,49.5253
0.0251,2e6,1.21e-11,100e-6,1.35,0.675,27,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000397597,49.4168
0.0251,2e6,1.21e-11,100e-6,1.35,0.75,27,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000397597,49.4168
0.0251,2e6,1.21e-11,100e-6,1.35,0.825,27,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000397597,49.4168
0.0251,2e6,1.21e-11,100e-6,1.5,0.675,27,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000397597,49.4168
0.0251,2e6,1.21e-11,100e-6,1.5,0.75,27,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000397597,49.4168
0.0251,2e6,1.21e-11,100e-6,1.5,0.825,27,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000397597,49.4168
0.0251,2e6,1.21e-11,100e-6,1.65,0.675,27,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000397597,49.4168
0.0251,2e6,1.21e-11,100e-6,1.65,0.75,27,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000397597,49.4168
0.0251,2e6,1.21e-11,100e-6,1.65,0.825,27,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000397597,49.4168
0.0251,2e6,1.21e-11,100e-6,1.35,0.675,125,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000457928,49.2628
0.0251,2e6,1.21e-11,100e-6,1.35,0.75,125,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000457928,49.2628
0.0251,2e6,1.21e-11,100e-6,1.35,0.825,125,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000457928,49.2628
0.0251,2e6,1.21e-11,100e-6,1.5,0.675,125,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000457928,49.2628
0.0251,2e6,1.21e-11,100e-6,1.5,0.75,125,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000457928,49.2628
0.0251,2e6,1.21e-11,100e-6,1.5,0.825,125,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000457928,49.2628
0.0251,2e6,1.21e-11,100e-6,1.65,0.675,125,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000457928,49.2628
0.0251,2e6,1.21e-11,100e-6,1.65,0.75,125,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000457928,49.2628
0.0251,2e6,1.21e-11,100e-6,1.65,0.825,125,tt,typ,560e3,5e-12,19.9322,966655.0,58.1755,0.03988,0.00777309,0.000457928,49.2628
100e-3,2e6,1.21e-11,100e-6,1.35,0.675,-40,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000361015,49.5019
100e-3,2e6,1.21e-11,100e-6,1.35,0.75,-40,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000361015,49.5019
100e-3,2e6,1.21e-11,100e-6,1.35,0.825,-40,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000361015,49.5019
100e-3,2e6,1.21e-11,100e-6,1.5,0.675,-40,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000361015,49.5019
100e-3,2e6,1.21e-11,100e-6,1.5,0.75,-40,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000361015,49.5019
100e-3,2e6,1.21e-11,100e-6,1.5,0.825,-40,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000361015,49.5019
100e-3,2e6,1.21e-11,100e-6,1.65,0.675,-40,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000361015,49.5019
100e-3,2e6,1.21e-11,100e-6,1.65,0.75,-40,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000361015,49.5019
100e-3,2e6,1.21e-11,100e-6,1.65,0.825,-40,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000361015,49.5019
100e-3,2e6,1.21e-11,100e-6,1.35,0.675,27,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000409616,49.3874
100e-3,2e6,1.21e-11,100e-6,1.35,0.75,27,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000409616,49.3874
100e-3,2e6,1.21e-11,100e-6,1.35,0.825,27,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000409616,49.3874
100e-3,2e6,1.21e-11,100e-6,1.5,0.675,27,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000409616,49.3874
100e-3,2e6,1.21e-11,100e-6,1.5,0.75,27,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000409616,49.3874
100e-3,2e6,1.21e-11,100e-6,1.5,0.825,27,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000409616,49.3874
100e-3,2e6,1.21e-11,100e-6,1.65,0.675,27,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000409616,49.3874
100e-3,2e6,1.21e-11,100e-6,1.65,0.75,27,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000409616,49.3874
100e-3,2e6,1.21e-11,100e-6,1.65,0.825,27,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000409616,49.3874
100e-3,2e6,1.21e-11,100e-6,1.35,0.675,125,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000471771,49.2252
100e-3,2e6,1.21e-11,100e-6,1.35,0.75,125,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000471771,49.2252
100e-3,2e6,1.21e-11,100e-6,1.35,0.825,125,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000471771,49.2252
100e-3,2e6,1.21e-11,100e-6,1.5,0.675,125,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000471771,49.2252
100e-3,2e6,1.21e-11,100e-6,1.5,0.75,125,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000471771,49.2252
100e-3,2e6,1.21e-11,100e-6,1.5,0.825,125,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000471771,49.2252
100e-3,2e6,1.21e-11,100e-6,1.65,0.675,125,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000471771,49.2252
100e-3,2e6,1.21e-11,100e-6,1.65,0.75,125,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000471771,49.2252
100e-3,2e6,1.21e-11,100e-6,1.65,0.825,125,tt,typ,560e3,5e-12,19.9847,991387.0,57.4782,0.00651,0.00175418,0.000471771,49.2252
1,2e6,1.21e-11,100e-6,1.35,0.675,-40,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000364365,49.4944
1,2e6,1.21e-11,100e-6,1.35,0.75,-40,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000364365,49.4944
1,2e6,1.21e-11,100e-6,1.35,0.825,-40,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000364365,49.4944
1,2e6,1.21e-11,100e-6,1.5,0.675,-40,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000364365,49.4944
1,2e6,1.21e-11,100e-6,1.5,0.75,-40,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000364365,49.4944
1,2e6,1.21e-11,100e-6,1.5,0.825,-40,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000364365,49.4944
1,2e6,1.21e-11,100e-6,1.65,0.675,-40,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000364365,49.4944
1,2e6,1.21e-11,100e-6,1.65,0.75,-40,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000364365,49.4944
1,2e6,1.21e-11,100e-6,1.65,0.825,-40,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000364365,49.4944
1,2e6,1.21e-11,100e-6,1.35,0.675,27,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000413416,49.378
1,2e6,1.21e-11,100e-6,1.35,0.75,27,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000413416,49.378
1,2e6,1.21e-11,100e-6,1.35,0.825,27,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000413416,49.378
1,2e6,1.21e-11,100e-6,1.5,0.675,27,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000413416,49.378
1,2e6,1.21e-11,100e-6,1.5,0.75,27,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000413416,49.378
1,2e6,1.21e-11,100e-6,1.5,0.825,27,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000413416,49.378
1,2e6,1.21e-11,100e-6,1.65,0.675,27,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000413416,49.378
1,2e6,1.21e-11,100e-6,1.65,0.75,27,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000413416,49.378
1,2e6,1.21e-11,100e-6,1.65,0.825,27,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000413416,49.378
1,2e6,1.21e-11,100e-6,1.35,0.675,125,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000476148,49.2132
1,2e6,1.21e-11,100e-6,1.35,0.75,125,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000476148,49.2132
1,2e6,1.21e-11,100e-6,1.35,0.825,125,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000476148,49.2132
1,2e6,1.21e-11,100e-6,1.5,0.675,125,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000476148,49.2132
1,2e6,1.21e-11,100e-6,1.5,0.75,125,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000476148,49.2132
1,2e6,1.21e-11,100e-6,1.5,0.825,125,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000476148,49.2132
1,2e6,1.21e-11,100e-6,1.65,0.675,125,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000476148,49.2132
1,2e6,1.21e-11,100e-6,1.65,0.75,125,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000476148,49.2132
1,2e6,1.21e-11,100e-6,1.65,0.825,125,tt,typ,560e3,5e-12,20.0006,999054.0,57.2604,0.00033,7.36854e-05,0.000476148,49.2132
